date: 2019-06-27
bar_size 30912.0
             Date      Time       open  ...  vol  transaction        vwap
group                                   ...                              
0      2019-05-12  22:00:00  146.62500  ...  209  30774.53125  147.246561
3908   2019-06-21  18:08:09  154.62500  ...  199  30767.09375  154.608511
3909   2019-06-21  18:15:36  154.62500  ...  200  30926.81250  154.634062
3910   2019-06-21  18:22:00  154.62500  ...  200  30928.40625  154.642031
3911   2019-06-21  18:27:01  154.65625  ...  200  30931.09375  154.655469
3912   2019-06-21  18:32:44  154.65625  ...  200  30930.56250  154.652813
3913   2019-06-21  18:39:53  154.62500  ...  200  30928.34375  154.641719
3914   2019-06-21  18:45:40  154.65625  ...  200  30941.75000  154.708750
3915   2019-06-21  18:49:35  154.71875  ...  200  30939.21875  154.696094
3916   2019-06-21  18:56:02  154.65625  ...  199  30772.21875  154.634265
3917   2019-06-21  18:59:26  154.62500  ...  200  30922.75000  154.613750
3918   2019-06-21  19:00:04  154.59375  ...  200  30919.28125  154.596406
3919   2019-06-21  19:06:11  154.62500  ...  200  30926.53125  154.632656
3920   2019-06-21  19:09:20  154.62500  ...  200  30925.65625  154.628281
3921   2019-06-21  19:18:10  154.62500  ...  200  30922.53125  154.612656
3922   2019-06-21  19:25:22  154.59375  ...  200  30920.78125  154.603906
3923   2019-06-21  19:28:34  154.62500  ...  152  23502.53125  154.621916

[3924 rows x 9 columns]
df_leftoverticks         hist  id      Price  ...      Time        Date cumsum_vol
787337     1  13  154.62500  ...  19:25:22  2019-06-21     787338
787338     1  14  154.62500  ...  19:25:22  2019-06-21     787339
787339     1  15  154.62500  ...  19:25:22  2019-06-21     787340
787340     1  16  154.62500  ...  19:25:22  2019-06-21     787341
787341     1  17  154.62500  ...  19:25:22  2019-06-21     787342
787342     1  18  154.62500  ...  19:25:22  2019-06-21     787343
787343     1  19  154.62500  ...  19:25:22  2019-06-21     787344
787344     1  20  154.62500  ...  19:25:22  2019-06-21     787345
787345     1  21  154.62500  ...  19:25:22  2019-06-21     787346
787346     1   0  154.62500  ...  19:25:27  2019-06-21     787347
787347     1   1  154.62500  ...  19:25:27  2019-06-21     787348
787348     1   2  154.62500  ...  19:25:27  2019-06-21     787349
787349     1   3  154.62500  ...  19:25:27  2019-06-21     787350
787350     1   4  154.62500  ...  19:25:27  2019-06-21     787351
787351     1   5  154.62500  ...  19:25:27  2019-06-21     787352
787352     1   6  154.62500  ...  19:25:27  2019-06-21     787353
787353     1   7  154.62500  ...  19:25:27  2019-06-21     787354
787354     1   8  154.62500  ...  19:25:27  2019-06-21     787355
787355     1   9  154.62500  ...  19:25:27  2019-06-21     787356
787356     1  10  154.62500  ...  19:25:27  2019-06-21     787357
787357     1  11  154.62500  ...  19:25:27  2019-06-21     787358
787358     1  12  154.62500  ...  19:25:27  2019-06-21     787359
787359     1  13  154.62500  ...  19:25:27  2019-06-21     787360
787360     1  14  154.62500  ...  19:25:27  2019-06-21     787361
787361     1  15  154.62500  ...  19:25:27  2019-06-21     787362
787362     1  16  154.62500  ...  19:25:27  2019-06-21     787363
787363     1  17  154.62500  ...  19:25:27  2019-06-21     787364
787364     1  18  154.62500  ...  19:25:27  2019-06-21     787365
787365     1   0  154.62500  ...  19:25:28  2019-06-21     787366
787366     1   1  154.62500  ...  19:25:28  2019-06-21     787367
...      ...  ..        ...  ...       ...         ...        ...
787459     1   0  154.62500  ...  19:27:03  2019-06-21     787460
787460     1   1  154.62500  ...  19:27:03  2019-06-21     787461
787461     1   2  154.62500  ...  19:27:03  2019-06-21     787462
787462     1   3  154.62500  ...  19:27:03  2019-06-21     787463
787463     1   0  154.59375  ...  19:27:05  2019-06-21     787464
787464     1   1  154.62500  ...  19:27:05  2019-06-21     787465
787465     1   0  154.62500  ...  19:27:34  2019-06-21     787466
787466     1   1  154.62500  ...  19:27:34  2019-06-21     787467
787467     1   2  154.62500  ...  19:27:34  2019-06-21     787468
787468     1   3  154.62500  ...  19:27:34  2019-06-21     787469
787469     1   4  154.62500  ...  19:27:34  2019-06-21     787470
787470     1   5  154.62500  ...  19:27:34  2019-06-21     787471
787471     1   6  154.62500  ...  19:27:34  2019-06-21     787472
787472     1   7  154.62500  ...  19:27:34  2019-06-21     787473
787473     1   8  154.62500  ...  19:27:34  2019-06-21     787474
787474     1   9  154.62500  ...  19:27:34  2019-06-21     787475
787475     1  10  154.62500  ...  19:27:34  2019-06-21     787476
787476     1  11  154.62500  ...  19:27:34  2019-06-21     787477
787477     1   0  154.59375  ...  19:27:51  2019-06-21     787478
787478     1   0  154.59375  ...  19:28:00  2019-06-21     787479
787479     1   0  154.59375  ...  19:28:18  2019-06-21     787480
787480     1   0  154.59375  ...  19:28:30  2019-06-21     787481
787481     1   1  154.59375  ...  19:28:30  2019-06-21     787482
787482     1   2  154.59375  ...  19:28:30  2019-06-21     787483
787483     1   3  154.59375  ...  19:28:30  2019-06-21     787484
787484     1   0  154.59375  ...  19:28:31  2019-06-21     787485
787485     1   1  154.59375  ...  19:28:31  2019-06-21     787486
787486     1   0  154.59375  ...  19:28:32  2019-06-21     787487
787487     1   0  154.59375  ...  19:28:33  2019-06-21     787488
787488     1   0  154.59375  ...  19:28:34  2019-06-21     787489

[152 rows x 8 columns]
